Date,High,Low,Open,Close,Volume,Adj Close
2019-07-01,191.1999969482422,184.60000610351562,184.8000030517578,188.39999389648438,225880.0,188.0840606689453
2019-07-02,190.0,187.1999969482422,189.1999969482422,189.39999389648438,172280.0,189.08236694335938
2019-07-03,198.0,191.0,193.60000610351562,192.0,374283.0,191.6780242919922
2019-07-04,193.39999389648438,190.1999969482422,193.1999969482422,192.60000610351562,121745.0,192.27700805664062
2019-07-05,194.8000030517578,191.1999969482422,192.60000610351562,192.8000030517578,111682.0,192.47666931152344
2019-07-08,196.39999389648438,192.0,193.0,194.0,134394.0,193.67466735839844
2019-07-09,195.1999969482422,192.8000030517578,194.1999969482422,194.0,145564.0,193.67466735839844
2019-07-10,198.8000030517578,193.1999969482422,194.39999389648438,197.0,213131.0,196.6696319580078
2019-07-11,203.0,187.60000610351562,197.60000610351562,189.8000030517578,348930.0,189.48170471191406
2019-07-12,194.0,188.8000030517578,190.1999969482422,190.8000030517578,201558.0,190.4800262451172
2019-07-15,193.60000610351562,187.39999389648438,191.39999389648438,193.1999969482422,230969.0,192.87599182128906
2019-07-16,198.39999389648438,192.39999389648438,194.39999389648438,193.0,277611.0,192.67633056640625
2019-07-17,194.39999389648438,190.60000610351562,193.1999969482422,193.8000030517578,260146.0,193.47500610351562
2019-07-18,196.8000030517578,188.60000610351562,194.60000610351562,196.60000610351562,350418.0,196.27029418945312
2019-07-19,232.0,209.5,215.0,220.5,1744317.0,220.13023376464844
2019-07-22,226.5,214.5,221.0,225.0,688651.0,224.62266540527344
2019-07-23,230.0,224.0,227.0,226.5,533092.0,226.1201629638672
2019-07-24,227.5,223.0,227.0,225.0,412990.0,224.62266540527344
2019-07-25,226.5,215.0,226.5,216.0,454711.0,215.6377716064453
2019-07-26,218.0,212.5,214.0,217.0,276591.0,216.63609313964844
2019-07-29,220.5,214.0,216.5,216.5,149828.0,216.13693237304688
2019-07-30,218.0,211.0,218.0,212.0,376916.0,211.6444854736328
2019-07-31,215.0,209.5,212.0,211.0,414480.0,210.64614868164062
2019-08-01,211.0,205.0,210.5,210.0,382946.0,209.6478271484375
2019-08-02,206.0,199.39999389648438,205.5,205.0,521672.0,204.6562042236328
2019-08-06,196.1999969482422,190.39999389648438,195.1999969482422,190.39999389648438,662659.0,190.08070373535156
2019-08-07,193.8000030517578,184.0,192.1999969482422,185.0,710205.0,184.68975830078125
2019-08-08,187.8000030517578,180.8000030517578,186.39999389648438,183.0,1145143.0,182.69309997558594
2019-08-09,185.1999969482422,180.8000030517578,183.39999389648438,181.60000610351562,578236.0,181.29547119140625
2019-08-12,182.60000610351562,177.1999969482422,181.8000030517578,178.39999389648438,493684.0,178.10081481933594
2019-08-13,183.1999969482422,179.60000610351562,181.1999969482422,180.8000030517578,492503.0,180.49679565429688
2019-08-14,183.0,173.0,182.39999389648438,173.60000610351562,365769.0,173.3088836669922
2019-08-15,174.39999389648438,168.0,173.39999389648438,170.0,533598.0,169.7149200439453
2019-08-16,174.8000030517578,169.8000030517578,170.0,172.39999389648438,525080.0,172.11087036132812
2019-08-19,179.1999969482422,173.8000030517578,174.8000030517578,177.1999969482422,481684.0,176.90283203125
2019-08-20,180.8000030517578,176.1999969482422,177.8000030517578,177.39999389648438,392277.0,177.1024932861328
2019-08-21,181.1999969482422,172.39999389648438,177.39999389648438,178.60000610351562,352488.0,178.3004913330078
2019-08-22,179.39999389648438,176.1999969482422,179.1999969482422,178.1999969482422,523163.0,177.9011688232422
2019-08-23,184.8000030517578,177.60000610351562,178.39999389648438,178.0,605006.0,177.7014923095703
2019-08-26,182.1999969482422,175.1999969482422,177.1999969482422,181.0,316786.0,180.6964569091797
2019-08-27,183.0,180.0,182.0,182.0,351089.0,181.69479370117188
2019-08-28,183.0,179.1999969482422,181.8000030517578,182.60000610351562,279439.0,182.2937774658203
2019-08-29,185.60000610351562,182.1999969482422,183.1999969482422,184.8000030517578,230102.0,184.49008178710938
2019-08-30,187.1999969482422,183.8000030517578,185.8000030517578,184.1999969482422,283751.0,183.89109802246094
2019-09-02,189.60000610351562,182.60000610351562,184.0,187.60000610351562,288437.0,187.285400390625
2019-09-03,189.39999389648438,186.0,187.39999389648438,188.60000610351562,254308.0,188.28372192382812
2019-09-04,194.0,188.1999969482422,188.1999969482422,192.0,263120.0,191.6780242919922
2019-09-05,206.5,195.0,195.8000030517578,205.0,664073.0,204.6562042236328
2019-09-06,208.0,200.5,205.0,203.5,342362.0,203.1587371826172
2019-09-09,204.5,195.0,203.5,195.60000610351562,249633.0,195.27198791503906
2019-09-10,196.1999969482422,191.60000610351562,195.1999969482422,195.60000610351562,311375.0,195.27198791503906
2019-09-11,199.0,192.39999389648438,196.39999389648438,193.1999969482422,270276.0,192.87599182128906
2019-09-12,194.1999969482422,189.60000610351562,193.1999969482422,190.0,276466.0,189.68138122558594
2019-09-13,198.39999389648438,192.1999969482422,192.1999969482422,194.60000610351562,238395.0,194.27365112304688
2019-09-16,195.0,190.60000610351562,194.8000030517578,193.1999969482422,200709.0,192.87599182128906
2019-09-17,193.39999389648438,190.39999389648438,191.60000610351562,193.39999389648438,132329.0,193.07566833496094
2019-09-18,202.0,193.0,193.8000030517578,201.5,946744.0,201.16207885742188
2019-09-19,202.5,195.0,202.0,198.1999969482422,254104.0,197.86761474609375
2019-09-20,200.5,197.1999969482422,199.0,200.0,250374.0,199.66461181640625
2019-09-23,200.5,195.0,200.5,195.0,294671.0,194.67298889160156
2019-09-24,199.0,194.1999969482422,195.0,197.0,281375.0,196.6696319580078
2019-09-25,196.0,191.39999389648438,196.0,195.39999389648438,218816.0,195.0723114013672
2019-09-26,199.1999969482422,195.39999389648438,195.60000610351562,196.1999969482422,164529.0,195.8709716796875
2019-09-27,198.0,195.1999969482422,197.8000030517578,196.39999389648438,116644.0,196.0706329345703
2019-09-30,196.60000610351562,193.39999389648438,196.60000610351562,193.60000610351562,179124.0,193.2753448486328
2019-10-01,197.60000610351562,190.39999389648438,193.60000610351562,191.60000610351562,193231.0,191.27870178222656
2019-10-02,193.8000030517578,185.0,190.1999969482422,189.0,193558.0,188.68304443359375
2019-10-03,191.1999969482422,186.60000610351562,187.0,189.60000610351562,236265.0,189.28204345703125
2019-10-04,191.39999389648438,186.39999389648438,189.60000610351562,188.1999969482422,257098.0,187.8843994140625
2019-10-07,194.0,187.8000030517578,188.1999969482422,193.39999389648438,177192.0,193.07566833496094
2019-10-08,205.5,195.8000030517578,196.0,199.39999389648438,371824.0,199.0655975341797
2019-10-09,201.5,196.60000610351562,200.5,200.5,207647.0,200.1637725830078
2019-10-10,204.5,198.39999389648438,200.5,202.5,299349.0,202.16041564941406
2019-10-11,206.0,199.8000030517578,203.0,203.0,176056.0,202.65956115722656
2019-10-14,206.0,197.8000030517578,205.0,202.0,258838.0,201.6612548828125
2019-10-15,206.5,200.5,202.0,205.5,190580.0,205.15538024902344
2019-10-16,207.0,204.0,206.0,206.0,139881.0,205.654541015625
2019-10-17,211.5,204.0,206.5,209.5,214501.0,209.14866638183594
2019-10-18,216.5,206.5,210.0,208.0,406085.0,207.65118408203125
2019-10-21,211.0,201.5,207.5,207.0,328841.0,206.65286254882812
2019-10-22,226.5,215.0,215.0,216.0,647218.0,215.6377716064453
2019-10-23,216.5,207.0,216.0,211.5,557441.0,211.1453094482422
2019-10-24,236.0,207.5,232.0,229.0,1928685.0,228.615966796875
2019-10-25,237.0,225.5,230.5,235.5,659396.0,235.10507202148438
