Date,High,Low,Open,Close,Volume,Adj Close
2017-01-02,80.5,77.75,80.0,80.25,166570.0,74.75960540771484
2017-01-03,80.5,78.25,80.5,78.25,17770.0,72.89643859863281
2017-01-04,79.75,77.5,79.75,79.25,25072.0,73.82801818847656
2017-01-05,79.75,78.0,78.75,78.0,10657.0,72.66353607177734
2017-01-09,79.0,76.5,78.5,77.0,29273.0,71.7319564819336
2017-01-10,79.5,76.75,77.5,79.5,48601.0,74.0609130859375
2017-01-11,80.5,78.5,78.5,79.0,14333.0,73.59512329101562
2017-01-12,80.0,77.5,80.0,78.0,4698.0,72.66353607177734
2017-01-13,79.25,77.0,77.0,79.0,8882.0,73.59512329101562
2017-01-16,80.5,78.0,79.25,79.5,14728.0,74.0609130859375
2017-01-17,80.5,79.25,79.25,80.0,7881.0,74.52670288085938
2017-01-18,80.5,78.5,80.5,78.5,9565.0,73.12933349609375
2017-01-19,81.75,78.5,78.5,81.75,28741.0,76.15697479248047
2017-01-20,82.5,80.5,80.5,82.5,14478.0,76.85566711425781
2017-01-23,82.75,81.5,82.0,82.5,8355.0,76.85566711425781
2017-01-24,82.0,80.25,82.0,80.25,9986.0,74.75960540771484
2017-01-25,83.0,80.25,82.0,81.75,21031.0,76.15697479248047
2017-01-26,82.75,80.5,82.0,81.0,16344.0,75.45829772949219
2017-01-27,82.25,81.0,82.25,81.0,3798.0,75.45829772949219
2017-01-30,84.5,81.0,81.0,84.0,41861.0,78.25304412841797
2017-01-31,86.0,81.0,84.0,83.75,143509.0,78.02014923095703
2017-02-01,85.0,82.0,82.0,82.0,14062.0,76.38987731933594
2017-02-02,84.75,80.75,82.0,81.75,34513.0,76.15697479248047
2017-02-03,83.0,81.0,81.0,81.75,8861.0,76.15697479248047
2017-02-06,82.5,80.5,81.0,81.0,18806.0,75.45829772949219
2017-02-07,81.5,77.5,81.5,78.0,226525.0,72.66353607177734
2017-02-08,79.75,77.0,78.0,77.75,61370.0,72.4306411743164
2017-02-09,78.5,77.0,77.0,77.25,15859.0,71.96485137939453
2017-02-10,79.5,78.0,79.5,78.75,25886.0,73.36222839355469
2017-02-13,79.0,78.0,78.75,79.0,119253.0,73.59512329101562
2017-02-14,80.0,78.75,79.0,79.0,11672.0,73.59512329101562
2017-02-15,80.0,77.0,79.0,77.0,37346.0,71.7319564819336
